(81984, u'traffic-accident')
(31429, u'traffic-accident-hit-and-run')
(3949, u'traffic-accident-dui-duid')
(193, u'traf-vehicular-assault')
(26, u'traf-vehicular-homicide')
(1, u'burglary-residence-by-force')
